implementation,context_length,batch_size,split_kv,latency_ms_p50,latency_ms_p95,achieved_bw_gb_s,peak_bw_gb_s,bw_pct_of_peak,max_abs_err_vs_fp32
cuda_split_kv,8192,16,8,2.4463,2.4556,219.57,2000.0,10.98,2.9e-05
cuda_split_kv,8192,16,16,2.4008,2.4126,223.73,2000.0,11.19,2.9e-05
flashinfer,16384,1,1,0.1434,0.1721,468.23,2000.0,23.41,2.1e-05
cuda_naive,16384,1,1,4.5558,4.5711,14.73,2000.0,0.74,1.5e-05
cuda_split_kv,16384,1,1,4.1825,4.1964,16.05,2000.0,0.8,1.5e-05
cuda_split_kv,16384,1,2,2.1135,2.1217,31.76,2000.0,1.59,1.5e-05
cuda_split_kv,16384,1,4,1.1162,1.1213,60.14,2000.0,3.01,1.5e-05
cuda_split_kv,16384,1,8,0.6323,0.641,106.16,2000.0,5.31,1.5e-05
cuda_split_kv,16384,1,16,0.3615,0.3666,185.7,2000.0,9.28,1.5e-05
flashinfer,16384,4,1,0.2785,0.288,964.0,2000.0,48.2,2.7e-05
cuda_naive,16384,4,1,4.7119,5.6678,56.98,2000.0,2.85,1.5e-05
cuda_split_kv,16384,4,1,4.2844,4.2968,62.67,2000.0,3.13,1.5e-05
cuda_split_kv,16384,4,2,2.2702,2.301,118.27,2000.0,5.91,1.5e-05
cuda_split_kv,16384,4,4,1.2984,1.3066,206.79,2000.0,10.34,1.5e-05
cuda_split_kv,16384,4,8,1.2867,1.2933,208.68,2000.0,10.43,1.5e-05
cuda_split_kv,16384,4,16,1.2575,1.2657,213.52,2000.0,10.68,1.5e-05
flashinfer,16384,16,1,0.9073,0.9248,1183.78,2000.0,59.19,2.5e-05
cuda_naive,16384,16,1,5.4712,5.5338,196.3,2000.0,9.82,1.5e-05
cuda_split_kv,16384,16,1,5.0545,5.0801,212.49,2000.0,10.62,1.5e-05
cuda_split_kv,16384,16,2,5.0109,5.0391,214.33,2000.0,10.72,1.5e-05
cuda_split_kv,16384,16,4,4.9265,4.9484,218.01,2000.0,10.9,1.5e-05
cuda_split_kv,16384,16,8,4.8486,4.8681,221.51,2000.0,11.08,1.5e-05
cuda_split_kv,16384,16,16,4.7826,4.8036,224.57,2000.0,11.23,1.5e-05
